fips,Date,R0,Cases,Tier
2050,2020-11-20,0.9,37,4
2060,2020-11-20,0.9,43,1
2068,2020-11-20,0.9,88,2
2070,2020-11-20,0.9,76,2
2090,2020-11-20,0.9,39,2
2100,2020-11-20,0.9,22,1
2105,2020-11-20,0.9,95,3
2110,2020-11-20,0.9,17,2
2122,2020-11-20,0.9,68,1
2130,2020-11-20,0.9,42,4
2150,2020-11-20,0.9,30,1
2158,2020-11-20,0.9,89,2
2164,2020-11-20,0.9,18,1
2170,2020-11-20,0.9,73,2
2180,2020-11-20,0.9,30,3
2185,2020-11-20,0.9,47,1
2188,2020-11-20,0.9,73,3
2195,2020-11-20,0.9,48,4
2198,2020-11-20,0.9,43,3
2220,2020-11-20,0.9,66,2
2230,2020-11-20,0.9,75,1
2240,2020-11-20,0.9,99,1
2261,2020-11-20,0.9,55,3
2275,2020-11-20,0.9,18,1
2282,2020-11-20,0.9,49,4
2290,2020-11-20,0.9,3,1
4001,2020-11-20,0.9,92,2
4003,2020-11-20,0.9,85,3
4005,2020-11-20,0.9,57,4
4007,2020-11-20,0.9,73,3
4009,2020-11-20,0.9,56,4
4011,2020-11-20,0.9,46,1
4012,2020-11-20,0.9,57,4
4013,2020-11-20,0.9,8,3
4015,2020-11-20,0.9,23,4
4017,2020-11-20,0.9,22,4
4019,2020-11-20,0.9,29,2
4021,2020-11-20,0.9,61,4
4023,2020-11-20,0.9,12,3
4025,2020-11-20,0.9,99,4
4027,2020-11-20,0.9,50,3
5001,2020-11-20,0.9,71,3
5003,2020-11-20,0.9,64,4
5005,2020-11-20,0.9,45,2
5007,2020-11-20,0.9,0,3
5009,2020-11-20,0.9,25,2
5011,2020-11-20,0.9,61,3
5013,2020-11-20,0.9,52,2
5015,2020-11-20,0.9,83,3
5017,2020-11-20,0.9,76,4
5019,2020-11-20,0.9,94,4
5021,2020-11-20,0.9,31,2
5023,2020-11-20,0.9,29,4
5025,2020-11-20,0.9,57,2
5027,2020-11-20,0.9,4,4
5029,2020-11-20,0.9,71,2
5031,2020-11-20,0.9,91,4
5033,2020-11-20,0.9,51,2
5035,2020-11-20,0.9,17,3
5037,2020-11-20,0.9,48,2
5039,2020-11-20,0.9,87,3
5041,2020-11-20,0.9,0,1
5043,2020-11-20,0.9,66,1
5045,2020-11-20,0.9,40,4
5047,2020-11-20,0.9,79,2
5049,2020-11-20,0.9,18,3
5051,2020-11-20,0.9,4,4
5053,2020-11-20,0.9,73,4
5055,2020-11-20,0.9,73,1
5057,2020-11-20,0.9,79,3
5059,2020-11-20,0.9,19,2
5061,2020-11-20,0.9,42,3
5063,2020-11-20,0.9,90,2
5065,2020-11-20,0.9,29,3
5067,2020-11-20,0.9,98,4
5069,2020-11-20,0.9,36,3
5071,2020-11-20,0.9,92,1
5073,2020-11-20,0.9,30,1
5075,2020-11-20,0.9,44,2
5077,2020-11-20,0.9,70,1
5079,2020-11-20,0.9,14,4
5081,2020-11-20,0.9,36,4
5083,2020-11-20,0.9,93,4
5085,2020-11-20,0.9,10,2
5087,2020-11-20,0.9,55,1
5089,2020-11-20,0.9,21,4
5091,2020-11-20,0.9,87,1
5093,2020-11-20,0.9,28,4
5095,2020-11-20,0.9,63,3
5097,2020-11-20,0.9,48,1
5099,2020-11-20,0.9,22,2
5101,2020-11-20,0.9,79,1
5103,2020-11-20,0.9,66,1
5105,2020-11-20,0.9,94,2
5107,2020-11-20,0.9,26,2
5109,2020-11-20,0.9,42,2
5111,2020-11-20,0.9,47,2
5113,2020-11-20,0.9,64,1
5115,2020-11-20,0.9,33,4
5117,2020-11-20,0.9,76,4
5119,2020-11-20,0.9,88,4
5121,2020-11-20,0.9,66,3
5123,2020-11-20,0.9,67,4
5125,2020-11-20,0.9,10,2
5127,2020-11-20,0.9,88,4
5129,2020-11-20,0.9,92,1
5131,2020-11-20,0.9,18,3
5133,2020-11-20,0.9,51,2
5135,2020-11-20,0.9,15,1
5137,2020-11-20,0.9,77,3
5139,2020-11-20,0.9,25,3
5141,2020-11-20,0.9,34,2
5143,2020-11-20,0.9,80,3
5145,2020-11-20,0.9,90,3
5147,2020-11-20,0.9,39,4
5149,2020-11-20,0.9,17,1
6001,2020-11-20,0.9,89,1
6003,2020-11-20,0.9,67,2
6005,2020-11-20,0.9,65,1
6007,2020-11-20,0.9,25,2
6009,2020-11-20,0.9,90,1
6011,2020-11-20,0.9,99,2
6013,2020-11-20,0.9,67,4
6015,2020-11-20,0.9,95,3
6017,2020-11-20,0.9,46,1
6019,2020-11-20,0.9,26,3
6021,2020-11-20,0.9,11,4
6023,2020-11-20,0.9,86,2
6025,2020-11-20,0.9,37,3
6027,2020-11-20,0.9,38,4
6029,2020-11-20,0.9,6,4
6031,2020-11-20,0.9,34,2
6033,2020-11-20,0.9,64,4
6035,2020-11-20,0.9,47,4
6037,2020-11-20,0.9,38,1
6039,2020-11-20,0.9,0,1
6041,2020-11-20,0.9,100,3
6043,2020-11-20,0.9,87,3
6045,2020-11-20,0.9,99,4
6047,2020-11-20,0.9,7,2
6049,2020-11-20,0.9,58,3
6051,2020-11-20,0.9,68,4
6053,2020-11-20,0.9,9,3
6055,2020-11-20,0.9,73,4
6057,2020-11-20,0.9,52,3
6059,2020-11-20,0.9,84,1
6061,2020-11-20,0.9,17,1
6063,2020-11-20,0.9,78,3
6065,2020-11-20,0.9,52,3
6067,2020-11-20,0.9,96,4
6069,2020-11-20,0.9,36,1
6071,2020-11-20,0.9,21,3
6073,2020-11-20,0.9,16,3
6075,2020-11-20,0.9,10,2
6077,2020-11-20,0.9,80,3
6079,2020-11-20,0.9,7,1
6081,2020-11-20,0.9,2,1
6083,2020-11-20,0.9,39,1
6085,2020-11-20,0.9,50,4
6087,2020-11-20,0.9,9,3
6089,2020-11-20,0.9,84,4
6091,2020-11-20,0.9,31,2
6093,2020-11-20,0.9,75,3
6095,2020-11-20,0.9,45,4
6097,2020-11-20,0.9,72,3
6099,2020-11-20,0.9,94,1
6101,2020-11-20,0.9,32,1
6103,2020-11-20,0.9,51,1
6105,2020-11-20,0.9,49,4
6107,2020-11-20,0.9,23,1
6109,2020-11-20,0.9,50,4
6111,2020-11-20,0.9,22,3
6113,2020-11-20,0.9,74,3
6115,2020-11-20,0.9,66,2
8001,2020-11-20,0.9,35,1
8003,2020-11-20,0.9,55,3
8005,2020-11-20,0.9,40,2
8007,2020-11-20,0.9,11,4
8009,2020-11-20,0.9,12,2
8011,2020-11-20,0.9,30,1
8013,2020-11-20,0.9,26,3
8014,2020-11-20,0.9,15,4
8015,2020-11-20,0.9,87,2
8017,2020-11-20,0.9,69,2
8019,2020-11-20,0.9,72,3
8021,2020-11-20,0.9,82,3
8023,2020-11-20,0.9,61,2
8025,2020-11-20,0.9,64,4
8027,2020-11-20,0.9,92,3
8029,2020-11-20,0.9,58,3
8031,2020-11-20,0.9,66,2
8033,2020-11-20,0.9,51,3
8035,2020-11-20,0.9,28,2
8037,2020-11-20,0.9,58,4
8039,2020-11-20,0.9,20,2
8041,2020-11-20,0.9,71,1
8043,2020-11-20,0.9,6,1
8045,2020-11-20,0.9,70,2
8047,2020-11-20,0.9,96,3
8049,2020-11-20,0.9,76,3
8051,2020-11-20,0.9,49,4
8053,2020-11-20,0.9,46,4
8055,2020-11-20,0.9,65,2
8057,2020-11-20,0.9,16,3
8059,2020-11-20,0.9,96,3
8061,2020-11-20,0.9,61,4
8063,2020-11-20,0.9,79,1
8065,2020-11-20,0.9,51,3
8067,2020-11-20,0.9,8,3
8069,2020-11-20,0.9,95,1
8071,2020-11-20,0.9,54,2
8073,2020-11-20,0.9,58,4
8075,2020-11-20,0.9,57,3
8077,2020-11-20,0.9,31,4
8079,2020-11-20,0.9,82,2
8081,2020-11-20,0.9,9,1
8083,2020-11-20,0.9,71,3
8085,2020-11-20,0.9,23,3
8087,2020-11-20,0.9,100,1
8089,2020-11-20,0.9,12,1
8091,2020-11-20,0.9,36,4
8093,2020-11-20,0.9,15,3
8095,2020-11-20,0.9,45,2
8097,2020-11-20,0.9,87,4
8099,2020-11-20,0.9,87,3
8101,2020-11-20,0.9,3,2
8103,2020-11-20,0.9,61,1
8105,2020-11-20,0.9,33,2
8107,2020-11-20,0.9,44,4
8109,2020-11-20,0.9,86,3
8111,2020-11-20,0.9,63,4
8113,2020-11-20,0.9,24,4
8115,2020-11-20,0.9,63,4
8117,2020-11-20,0.9,14,4
8119,2020-11-20,0.9,19,1
8121,2020-11-20,0.9,33,3
8123,2020-11-20,0.9,84,4
8125,2020-11-20,0.9,70,1
9001,2020-11-20,0.9,80,1
9003,2020-11-20,0.9,28,1
9005,2020-11-20,0.9,3,1
9007,2020-11-20,0.9,0,4
9009,2020-11-20,0.9,83,3
9011,2020-11-20,0.9,48,4
9013,2020-11-20,0.9,77,4
9015,2020-11-20,0.9,83,3
10001,2020-11-20,0.9,68,2
10003,2020-11-20,0.9,93,1
10005,2020-11-20,0.9,17,1
11001,2020-11-20,0.9,96,2
12001,2020-11-20,0.9,31,1
12003,2020-11-20,0.9,84,4
12005,2020-11-20,0.9,27,1
12007,2020-11-20,0.9,13,1
12009,2020-11-20,0.9,17,1
12011,2020-11-20,0.9,77,1
12013,2020-11-20,0.9,53,2
12015,2020-11-20,0.9,97,1
12017,2020-11-20,0.9,84,3
12019,2020-11-20,0.9,26,1
12021,2020-11-20,0.9,37,3
12023,2020-11-20,0.9,97,3
12027,2020-11-20,0.9,28,2
12029,2020-11-20,0.9,62,1
12031,2020-11-20,0.9,77,3
12033,2020-11-20,0.9,7,3
12035,2020-11-20,0.9,75,1
12037,2020-11-20,0.9,95,3
12039,2020-11-20,0.9,93,3
12041,2020-11-20,0.9,53,3
12043,2020-11-20,0.9,92,2
12045,2020-11-20,0.9,59,2
12047,2020-11-20,0.9,17,2
12049,2020-11-20,0.9,71,3
12051,2020-11-20,0.9,46,4
12053,2020-11-20,0.9,68,1
12055,2020-11-20,0.9,59,1
12057,2020-11-20,0.9,92,2
12059,2020-11-20,0.9,12,3
12061,2020-11-20,0.9,31,3
12063,2020-11-20,0.9,54,2
12065,2020-11-20,0.9,79,1
12067,2020-11-20,0.9,5,1
12069,2020-11-20,0.9,7,2
12071,2020-11-20,0.9,55,3
12073,2020-11-20,0.9,8,1
12075,2020-11-20,0.9,81,3
12077,2020-11-20,0.9,46,3
12079,2020-11-20,0.9,16,1
12081,2020-11-20,0.9,12,3
12083,2020-11-20,0.9,99,1
12085,2020-11-20,0.9,67,3
12086,2020-11-20,0.9,20,3
12087,2020-11-20,0.9,8,3
12089,2020-11-20,0.9,41,4
12091,2020-11-20,0.9,87,4
12093,2020-11-20,0.9,6,1
12095,2020-11-20,0.9,54,3
12097,2020-11-20,0.9,18,3
12099,2020-11-20,0.9,72,4
12101,2020-11-20,0.9,66,2
12103,2020-11-20,0.9,60,4
12105,2020-11-20,0.9,64,3
12107,2020-11-20,0.9,71,3
12109,2020-11-20,0.9,74,3
12111,2020-11-20,0.9,89,4
12113,2020-11-20,0.9,12,4
12115,2020-11-20,0.9,74,2
12117,2020-11-20,0.9,86,1
12119,2020-11-20,0.9,36,1
12121,2020-11-20,0.9,52,1
12123,2020-11-20,0.9,62,4
12125,2020-11-20,0.9,27,4
12127,2020-11-20,0.9,63,3
12129,2020-11-20,0.9,85,2
12131,2020-11-20,0.9,45,4
12133,2020-11-20,0.9,73,1
13001,2020-11-20,0.9,11,1
13003,2020-11-20,0.9,37,4
13005,2020-11-20,0.9,84,2
13007,2020-11-20,0.9,11,2
13009,2020-11-20,0.9,86,3
13011,2020-11-20,0.9,19,3
13013,2020-11-20,0.9,62,3
13015,2020-11-20,0.9,54,3
13017,2020-11-20,0.9,21,2
13019,2020-11-20,0.9,28,4
13021,2020-11-20,0.9,54,1
13023,2020-11-20,0.9,21,4
13025,2020-11-20,0.9,86,3
13027,2020-11-20,0.9,22,2
13029,2020-11-20,0.9,86,4
13031,2020-11-20,0.9,58,1
13033,2020-11-20,0.9,100,1
13035,2020-11-20,0.9,40,4
13037,2020-11-20,0.9,1,2
13039,2020-11-20,0.9,38,2
13043,2020-11-20,0.9,60,1
13045,2020-11-20,0.9,12,2
13047,2020-11-20,0.9,44,2
13049,2020-11-20,0.9,59,1
13051,2020-11-20,0.9,54,1
13053,2020-11-20,0.9,87,4
13055,2020-11-20,0.9,52,4
13057,2020-11-20,0.9,74,2
13059,2020-11-20,0.9,66,3
13061,2020-11-20,0.9,74,3
13063,2020-11-20,0.9,57,2
13065,2020-11-20,0.9,70,3
13067,2020-11-20,0.9,27,3
13069,2020-11-20,0.9,51,4
13071,2020-11-20,0.9,78,1
13073,2020-11-20,0.9,88,3
13075,2020-11-20,0.9,69,4
13077,2020-11-20,0.9,63,2
13079,2020-11-20,0.9,96,1
13081,2020-11-20,0.9,83,4
13083,2020-11-20,0.9,92,3
13085,2020-11-20,0.9,37,4
13087,2020-11-20,0.9,41,1
13089,2020-11-20,0.9,7,4
13091,2020-11-20,0.9,17,2
13093,2020-11-20,0.9,33,2
13095,2020-11-20,0.9,32,3
13097,2020-11-20,0.9,73,1
13099,2020-11-20,0.9,37,4
13101,2020-11-20,0.9,83,2
13103,2020-11-20,0.9,95,3
13105,2020-11-20,0.9,47,4
13107,2020-11-20,0.9,23,1
13109,2020-11-20,0.9,13,2
13111,2020-11-20,0.9,27,2
13113,2020-11-20,0.9,17,3
13115,2020-11-20,0.9,66,3
13117,2020-11-20,0.9,83,2
13119,2020-11-20,0.9,12,1
13121,2020-11-20,0.9,42,2
13123,2020-11-20,0.9,76,1
13125,2020-11-20,0.9,65,1
13127,2020-11-20,0.9,88,4
13129,2020-11-20,0.9,86,1
13131,2020-11-20,0.9,10,3
13133,2020-11-20,0.9,49,3
13135,2020-11-20,0.9,60,3
13137,2020-11-20,0.9,15,4
13139,2020-11-20,0.9,100,2
13141,2020-11-20,0.9,92,1
13143,2020-11-20,0.9,56,1
13145,2020-11-20,0.9,28,2
13147,2020-11-20,0.9,21,1
13149,2020-11-20,0.9,10,3
13151,2020-11-20,0.9,33,2
13153,2020-11-20,0.9,36,4
13155,2020-11-20,0.9,50,4
13157,2020-11-20,0.9,81,2
13159,2020-11-20,0.9,29,2
13161,2020-11-20,0.9,41,4
13163,2020-11-20,0.9,11,3
13165,2020-11-20,0.9,33,3
13167,2020-11-20,0.9,17,1
13169,2020-11-20,0.9,75,4
13171,2020-11-20,0.9,89,3
13173,2020-11-20,0.9,6,4
13175,2020-11-20,0.9,33,1
13177,2020-11-20,0.9,88,4
13179,2020-11-20,0.9,34,3
13181,2020-11-20,0.9,7,4
13183,2020-11-20,0.9,48,4
13185,2020-11-20,0.9,31,1
13187,2020-11-20,0.9,14,2
13189,2020-11-20,0.9,10,1
13191,2020-11-20,0.9,77,2
13193,2020-11-20,0.9,36,4
13195,2020-11-20,0.9,46,2
13197,2020-11-20,0.9,28,4
13199,2020-11-20,0.9,87,1
13201,2020-11-20,0.9,93,3
13205,2020-11-20,0.9,2,1
13207,2020-11-20,0.9,56,2
13209,2020-11-20,0.9,72,3
13211,2020-11-20,0.9,97,1
13213,2020-11-20,0.9,72,1
13215,2020-11-20,0.9,77,4
13217,2020-11-20,0.9,26,1
13219,2020-11-20,0.9,74,2
13221,2020-11-20,0.9,1,4
13223,2020-11-20,0.9,17,1
13225,2020-11-20,0.9,97,4
13227,2020-11-20,0.9,5,4
13229,2020-11-20,0.9,79,4
13231,2020-11-20,0.9,79,2
13233,2020-11-20,0.9,95,1
13235,2020-11-20,0.9,15,4
13237,2020-11-20,0.9,0,1
13239,2020-11-20,0.9,24,3
13241,2020-11-20,0.9,31,4
13243,2020-11-20,0.9,69,2
13245,2020-11-20,0.9,29,2
13247,2020-11-20,0.9,83,2
13249,2020-11-20,0.9,33,2
13251,2020-11-20,0.9,55,4
13253,2020-11-20,0.9,33,3
13255,2020-11-20,0.9,22,1
13257,2020-11-20,0.9,97,4
13259,2020-11-20,0.9,73,1
13261,2020-11-20,0.9,57,1
13263,2020-11-20,0.9,96,4
13265,2020-11-20,0.9,46,4
13267,2020-11-20,0.9,9,1
13269,2020-11-20,0.9,5,1
13271,2020-11-20,0.9,83,1
13273,2020-11-20,0.9,88,2
13275,2020-11-20,0.9,22,1
13277,2020-11-20,0.9,2,1
13279,2020-11-20,0.9,79,1
13281,2020-11-20,0.9,66,3
13283,2020-11-20,0.9,9,1
13285,2020-11-20,0.9,60,1
13287,2020-11-20,0.9,71,4
13289,2020-11-20,0.9,54,4
13291,2020-11-20,0.9,45,2
13293,2020-11-20,0.9,89,3
13295,2020-11-20,0.9,65,2
13297,2020-11-20,0.9,81,1
13299,2020-11-20,0.9,91,1
13301,2020-11-20,0.9,14,2
13303,2020-11-20,0.9,86,1
13305,2020-11-20,0.9,84,4
13307,2020-11-20,0.9,20,3
13309,2020-11-20,0.9,39,4
13311,2020-11-20,0.9,78,4
13313,2020-11-20,0.9,1,3
13315,2020-11-20,0.9,38,3
13317,2020-11-20,0.9,29,2
13319,2020-11-20,0.9,99,2
13321,2020-11-20,0.9,17,2
15001,2020-11-20,0.9,67,1
15003,2020-11-20,0.9,39,4
15007,2020-11-20,0.9,38,3
15009,2020-11-20,0.9,78,4
16001,2020-11-20,0.9,6,3
16003,2020-11-20,0.9,98,3
16005,2020-11-20,0.9,76,1
16007,2020-11-20,0.9,51,1
16009,2020-11-20,0.9,24,3
16011,2020-11-20,0.9,32,2
16013,2020-11-20,0.9,9,3
16015,2020-11-20,0.9,5,3
16017,2020-11-20,0.9,3,2
16019,2020-11-20,0.9,66,2
16021,2020-11-20,0.9,47,4
16023,2020-11-20,0.9,41,3
16025,2020-11-20,0.9,22,4
16027,2020-11-20,0.9,74,4
16029,2020-11-20,0.9,14,3
16031,2020-11-20,0.9,43,2
16033,2020-11-20,0.9,90,4
16035,2020-11-20,0.9,16,4
16037,2020-11-20,0.9,66,3
16039,2020-11-20,0.9,6,1
16041,2020-11-20,0.9,95,3
16043,2020-11-20,0.9,88,1
16045,2020-11-20,0.9,8,3
16047,2020-11-20,0.9,68,3
16049,2020-11-20,0.9,27,1
16051,2020-11-20,0.9,86,1
16053,2020-11-20,0.9,74,4
16055,2020-11-20,0.9,89,4
16057,2020-11-20,0.9,9,2
16059,2020-11-20,0.9,18,1
16061,2020-11-20,0.9,3,4
16063,2020-11-20,0.9,35,1
16065,2020-11-20,0.9,81,3
16067,2020-11-20,0.9,97,3
16069,2020-11-20,0.9,49,4
16071,2020-11-20,0.9,34,2
16073,2020-11-20,0.9,2,4
16075,2020-11-20,0.9,33,1
16077,2020-11-20,0.9,91,3
16079,2020-11-20,0.9,89,1
16081,2020-11-20,0.9,73,1
16083,2020-11-20,0.9,13,4
16085,2020-11-20,0.9,23,1
16087,2020-11-20,0.9,72,3
17001,2020-11-20,0.9,45,2
17003,2020-11-20,0.9,71,3
17005,2020-11-20,0.9,82,4
17007,2020-11-20,0.9,84,3
17009,2020-11-20,0.9,23,3
17011,2020-11-20,0.9,53,3
17013,2020-11-20,0.9,81,4
17015,2020-11-20,0.9,38,2
17017,2020-11-20,0.9,89,1
17019,2020-11-20,0.9,98,1
17021,2020-11-20,0.9,73,2
17023,2020-11-20,0.9,84,4
17025,2020-11-20,0.9,34,1
17027,2020-11-20,0.9,39,1
17029,2020-11-20,0.9,83,2
17031,2020-11-20,0.9,58,1
17033,2020-11-20,0.9,50,1
17035,2020-11-20,0.9,28,1
17037,2020-11-20,0.9,23,4
17039,2020-11-20,0.9,52,2
17041,2020-11-20,0.9,8,1
17043,2020-11-20,0.9,47,2
17045,2020-11-20,0.9,81,3
17047,2020-11-20,0.9,75,4
17049,2020-11-20,0.9,42,2
17051,2020-11-20,0.9,41,2
17053,2020-11-20,0.9,67,2
17055,2020-11-20,0.9,60,3
17057,2020-11-20,0.9,93,1
17059,2020-11-20,0.9,79,1
17061,2020-11-20,0.9,97,1
17063,2020-11-20,0.9,10,2
17065,2020-11-20,0.9,66,2
17067,2020-11-20,0.9,66,4
17069,2020-11-20,0.9,32,2
17071,2020-11-20,0.9,76,3
17073,2020-11-20,0.9,13,2
17075,2020-11-20,0.9,97,2
17077,2020-11-20,0.9,14,3
17079,2020-11-20,0.9,59,4
17081,2020-11-20,0.9,14,2
17083,2020-11-20,0.9,53,2
17085,2020-11-20,0.9,17,1
17087,2020-11-20,0.9,97,2
17089,2020-11-20,0.9,2,1
17091,2020-11-20,0.9,72,1
17093,2020-11-20,0.9,74,1
17095,2020-11-20,0.9,2,1
17097,2020-11-20,0.9,49,4
17099,2020-11-20,0.9,26,3
17101,2020-11-20,0.9,46,2
17103,2020-11-20,0.9,56,3
17105,2020-11-20,0.9,82,3
17107,2020-11-20,0.9,41,1
17109,2020-11-20,0.9,92,4
17111,2020-11-20,0.9,52,4
17113,2020-11-20,0.9,58,4
17115,2020-11-20,0.9,93,4
17117,2020-11-20,0.9,24,2
17119,2020-11-20,0.9,99,4
17121,2020-11-20,0.9,25,1
17123,2020-11-20,0.9,80,3
17125,2020-11-20,0.9,44,2
17127,2020-11-20,0.9,64,1
17129,2020-11-20,0.9,100,3
17131,2020-11-20,0.9,67,3
17133,2020-11-20,0.9,41,3
17135,2020-11-20,0.9,30,3
17137,2020-11-20,0.9,98,4
17139,2020-11-20,0.9,29,4
17141,2020-11-20,0.9,53,2
17143,2020-11-20,0.9,16,3
17145,2020-11-20,0.9,3,2
17147,2020-11-20,0.9,10,4
17149,2020-11-20,0.9,5,4
17151,2020-11-20,0.9,57,4
17153,2020-11-20,0.9,99,1
17155,2020-11-20,0.9,30,2
17157,2020-11-20,0.9,20,2
17159,2020-11-20,0.9,95,2
17161,2020-11-20,0.9,63,1
17163,2020-11-20,0.9,18,1
17165,2020-11-20,0.9,6,4
17167,2020-11-20,0.9,90,2
17169,2020-11-20,0.9,97,1
17171,2020-11-20,0.9,75,3
17173,2020-11-20,0.9,56,2
17175,2020-11-20,0.9,67,3
17177,2020-11-20,0.9,55,4
17179,2020-11-20,0.9,95,4
17181,2020-11-20,0.9,37,2
17183,2020-11-20,0.9,79,4
17185,2020-11-20,0.9,67,2
17187,2020-11-20,0.9,52,3
17189,2020-11-20,0.9,2,1
17191,2020-11-20,0.9,17,4
17193,2020-11-20,0.9,69,2
17195,2020-11-20,0.9,94,1
17197,2020-11-20,0.9,24,4
17199,2020-11-20,0.9,85,1
17201,2020-11-20,0.9,74,4
17203,2020-11-20,0.9,48,2
18001,2020-11-20,0.9,61,1
18003,2020-11-20,0.9,77,4
18005,2020-11-20,0.9,30,2
18007,2020-11-20,0.9,20,4
18009,2020-11-20,0.9,39,1
18011,2020-11-20,0.9,32,1
18013,2020-11-20,0.9,27,1
18015,2020-11-20,0.9,63,3
18017,2020-11-20,0.9,78,3
18019,2020-11-20,0.9,91,4
18021,2020-11-20,0.9,47,1
18023,2020-11-20,0.9,19,1
18025,2020-11-20,0.9,12,2
18027,2020-11-20,0.9,67,2
18029,2020-11-20,0.9,38,2
18031,2020-11-20,0.9,14,1
18033,2020-11-20,0.9,23,2
18035,2020-11-20,0.9,76,4
18037,2020-11-20,0.9,15,2
18039,2020-11-20,0.9,7,1
18041,2020-11-20,0.9,41,3
18043,2020-11-20,0.9,50,3
18045,2020-11-20,0.9,40,1
18047,2020-11-20,0.9,50,3
18049,2020-11-20,0.9,84,2
18051,2020-11-20,0.9,73,3
18053,2020-11-20,0.9,72,2
18055,2020-11-20,0.9,4,3
18057,2020-11-20,0.9,84,1
18059,2020-11-20,0.9,24,1
18061,2020-11-20,0.9,49,3
18063,2020-11-20,0.9,11,3
18065,2020-11-20,0.9,67,3
18067,2020-11-20,0.9,15,2
18069,2020-11-20,0.9,64,1
18071,2020-11-20,0.9,82,4
18073,2020-11-20,0.9,87,2
18075,2020-11-20,0.9,56,2
18077,2020-11-20,0.9,71,2
18079,2020-11-20,0.9,92,4
18081,2020-11-20,0.9,53,4
18083,2020-11-20,0.9,38,1
18085,2020-11-20,0.9,90,2
18087,2020-11-20,0.9,38,2
18089,2020-11-20,0.9,59,1
18091,2020-11-20,0.9,49,2
18093,2020-11-20,0.9,7,4
18095,2020-11-20,0.9,93,4
18097,2020-11-20,0.9,80,1
18099,2020-11-20,0.9,21,4
18101,2020-11-20,0.9,14,2
18103,2020-11-20,0.9,59,4
18105,2020-11-20,0.9,25,3
18107,2020-11-20,0.9,49,3
18109,2020-11-20,0.9,84,4
18111,2020-11-20,0.9,83,4
18113,2020-11-20,0.9,18,4
18115,2020-11-20,0.9,33,2
18117,2020-11-20,0.9,76,3
18119,2020-11-20,0.9,33,1
18121,2020-11-20,0.9,94,4
18123,2020-11-20,0.9,11,3
18125,2020-11-20,0.9,29,4
18127,2020-11-20,0.9,90,3
18129,2020-11-20,0.9,84,2
18131,2020-11-20,0.9,12,2
18133,2020-11-20,0.9,44,4
18135,2020-11-20,0.9,16,2
18137,2020-11-20,0.9,39,3
18139,2020-11-20,0.9,4,2
18141,2020-11-20,0.9,61,4
18143,2020-11-20,0.9,0,4
18145,2020-11-20,0.9,7,1
18147,2020-11-20,0.9,14,4
18149,2020-11-20,0.9,69,4
18151,2020-11-20,0.9,81,3
18153,2020-11-20,0.9,71,2
18155,2020-11-20,0.9,48,4
18157,2020-11-20,0.9,68,3
18159,2020-11-20,0.9,42,1
